name,MMSI,flag,flag translated,GFW vessel type,GFW gear type,vesselId,dataset
Leticia F,710458734,BRA,Brasil,Pesca,"Espinhel de fundo, Espinhel de superfície",33f8f9d5f-ff27-171f-e2aa-ff56b9881554,public-global-vessel-identity:v3.0
Larah,,BRA,Brasil,---,Espinhel de superfície,af73d6fbb-bf01-dd6d-2022-e69803a9220a,public-bra-onyxsat-vessel-identity-fishing:v20211126
Lucas J,,BRA,Brasil,---,Null,a158111d0-0b50-8372-51ff-e64b029722c0,public-bra-onyxsat-vessel-identity-fishing:v20211126
Merkato,710118976,BRA,Brasil,Outros,Outros,a2892a3a0-05dc-306e-20bf-fde0e4d8dffb,public-global-vessel-identity:v3.0
Maria Luiza,,BRA,Brasil,---,Null,f2853784b-beaf-9361-fb8a-b2e21b9042ab,public-bra-onyxsat-vessel-identity-fishing:v20211126
Pescamar III,710352061,BRA,Brasil,Pesca,Espinhel de superfície,e304a7346-6189-1d80-113d-ac598c3b650d,public-global-vessel-identity:v3.0
Rio Madeira,710128712,BRA,Brasil,Pesca,Espinhel de superfície,28aad48d4-45d2-f6fb-f516-2d789f2d22fc,public-global-vessel-identity:v3.0
Rio Mamore,9131118,,---,Outros,Outros,efdcac0d8-8d58-ecb5-8249-8653f2c723d5,public-global-vessel-identity:v3.0
Rio Madeira,,BRA,Brasil,---,Null,6fdf304d8-8e68-f9dc-b070-38d3b11179a7,public-bra-onyxsat-vessel-identity-fishing:v20211126
Rio Solimões,,BRA,Brasil,---,Null,371917c47-7091-f0f2-2a5f-297ae5973410,public-bra-onyxsat-vessel-identity-fishing:v20211126
Rio Tocantins,,BRA,Brasil,---,Null,35b8d0579-966e-d594-05f1-d45b4a2d6854,public-bra-onyxsat-vessel-identity-fishing:v20211126
Rumo ao Mar,,BRA,Brasil,---,Espinhel de superfície,cd9fb5640-001f-5592-640e-b9ba56aecaeb,public-bra-onyxsat-vessel-identity-fishing:v20211126
Sandylla,710130107,BRA,Brasil,Pesca,Espinhel de superfície,8965ef375-50e6-71e7-a489-ea5e2966a744,public-global-vessel-identity:v3.0
Sao Judas Tadeu-0,710677779,BRA,Brasil,Petrecho,Petrecho,722657779-9fd8-6c64-ad97-076763d77136,public-global-vessel-identity:v3.0
Sao Judas Tadeu,,BRA,Brasil,---,Espinhel de superfície,586666b6b-b92f-443e-2a21-82a2a192e8cb,public-bra-onyxsat-vessel-identity-fishing:v20211126
SÃO JosÉ De Anchieta,,BRA,Brasil,---,Espinhel de superfície,5853cbb9e-e8ba-49af-1dc8-80cc3ad07e12,public-bra-onyxsat-vessel-identity-fishing:v20211126
Tunas,,BRA,Brasil,---,Espinhel de superfície,df9c4a2d4-425d-4998-5a5f-0a839b06bca2,public-bra-onyxsat-vessel-identity-fishing:v20211126
Tunas II,,BRA,Brasil,---,Espinhel de superfície,9f94bf4e9-941f-f3da-5575-04b3d3f3f528,public-bra-onyxsat-vessel-identity-fishing:v20211126
Veremos,710120741,BRA,Brasil,Pesca,Espinhel de superfície,3cafca940-08cd-91f2-ce02-e7bf79199b2e,public-global-vessel-identity:v3.0
Viola Pescado,710128215,BRA,Brasil,Embarcação sísmica,Embarcação sísmica,494fad5e4-40b5-16d7-2dba-28940e3490da,public-global-vessel-identity:v3.0
Veremos,,BRA,Brasil,---,Espinhel de superfície,800915159-9d7e-5b25-835d-f8f0934c2132,public-bra-onyxsat-vessel-identity-fishing:v20211126
Veremos II,,BRA,Brasil,---,Set_longline,90d0e204f-fb1d-51a1-7309-a51fb9a874c8,public-bra-onyxsat-vessel-identity-fishing:v20211126
Veremos IX,,BRA,Brasil,---,Set_longline,b84c8be41-16b1-d8f4-6c3e-1161d1cbe99c,public-bra-onyxsat-vessel-identity-fishing:v20211126
Veremos VI,,BRA,Brasil,---,Espinhel de superfície,d70653324-4a37-3938-7fca-b0867589d9ff,public-bra-onyxsat-vessel-identity-fishing:v20211126
Veremos VII,,BRA,Brasil,---,Espinhel de superfície,8afd7afe0-0eee-5f96-e76a-8b3e6d1fbf72,public-bra-onyxsat-vessel-identity-fishing:v20211126
Veremos X,,BRA,Brasil,---,Espinhel de superfície,78b8ef4e3-3bc3-f508-65e0-ea8faf279b38,public-bra-onyxsat-vessel-identity-fishing:v20211126
Veremos XI,,BRA,Brasil,---,Espinhel de superfície,6b8e0e9a7-7f90-3ee7-82dc-d81d7fa3d481,public-bra-onyxsat-vessel-identity-fishing:v20211126
Veremos XII,,BRA,Brasil,---,Espinhel de superfície,0a0e4f7f8-8fcc-2fa1-da19-d972340fc207,public-bra-onyxsat-vessel-identity-fishing:v20211126
Veremos XIII,,BRA,Brasil,---,Espinhel de superfície,4cbefa909-9d48-4125-3890-017c2788b9ed,public-bra-onyxsat-vessel-identity-fishing:v20211126
Veremos XIV,,BRA,Brasil,---,Espinhel de superfície,f0e405d0b-b8a4-b638-80ba-30724cb35c7c,public-bra-onyxsat-vessel-identity-fishing:v20211126
